question,bloom_taxonomy_level
Compare full-custom and semi-custom design methodologies.,Understandinging
Explain High-k metal technology.,Understandinging
Explain in detail about the First Generation Analog Cellular Telephone system.,Understanding
Explain natural language processing (NLP) and its challenges.,Understanding
Explain the operation of a single-stage amplifier with resistive load.,Understanding
Define mutual information and list its properties.,Understanding
"Briefly describe the significance of the Shannon limit for information capacity. Given a standard telephone circuit with a signal-to-noise power ratio of 30dB and a bandwidth of 2.7 kHz, determine the Shannon limit for information capacity.",Applying
Define ripple factor and calculate the ripple factor of a half-wave rectifier.,Remembering
Discuss the generalized analysis of a transistor amplifier model using h-parameters.,Understanding
Explain about Basic Telephone Call Procedures.,Understanding
Discuss cloud computing and AI integration.,Understanding
Discuss the importance of explainability in AI models.,Understanding
What is the role of system calls in OS? Explain types of system calls.,Understanding
Derive the voltage gain equation for a common source amplifier at high frequencies.,Applying
Explain the importance of pass-transistor logic with examples.,Understanding
Explain k-means clustering with a suitable example.,Understanding
Discuss how Threads and Processes are related. What parameters are common to Process and Threads? Explain in detail.,Understanding
Define Multiplexing. Describe its goals and importance.,Understanding
Determine L=2n for a PCM signal with Î¼=100 and SNR = 40 dB. Calculate output SQNR.,Applying
Explain how an LED differs from an ordinary PN junction diode and list its applications.,Understanding
Write short notes on metastability in CMOS logic.,Understanding
"For a 12-bit data string of 101100010010, determine the number of Hamming bits required, assume an arbitrary single-bit transmission error, and prove that the Hamming code will successfully detect the error.",Applying
Explain the concept of punch-through/reach-through in a BJT.,Understanding
What is Redundancy? Write about Character and Message Redundancy.,Understanding
"Compute entropy for a source with symbols A, B, C (probabilities 0.5, 0.3, 0.2) and develop Huffman code.",Applying
Explain Paging Systems.,Understanding
"For a single-mode optical cable with an optical cable 0.25 dB/km loss, determine the optical power 100 km from a 0.1 mW light source.",Applying
Explain alternate gate circuits using a NAND gate as an example.,Understanding
Write in brief about Serial and Parallel Data Transmission.,Understanding
Explain schemes for digital data transmission.,Understanding
Explain how PPM can be generated from PWM signals.,Understanding
Write short notes on high-k metal technology.,Understanding
What is a network topology? Classify different network topologies.,Understanding
Draw a CMOS inverter circuit and explain transfer characteristics using equations.,Understanding
Design a new circuit that automatically switches between solar power and grid power based on availability.,Creating
What is a process? Explain process states with a state transition diagram.,Understanding
Determine the pull-up to pull-down ratio for an NMOS inverter driven by another NMOS inverter.,Applying
Explain Master-Slave Edge-Triggered Registers.,Understanding
Classify and explain Bar Codes.,Understanding
What is pattern association?,Understanding
What are the advantages of optical fiber cables?,Understanding
Write down the equations for Ids of an n-channel enhancement MOSFET operating in non-saturated and saturated regions.,Remembering
Describe different types of joins in SQL with examples.,Understanding
Describe the losses in Optical Fiber Cables.,Understanding
Define Electromagnetic Radiation. Write the mathematical representation of power density.,Applying
Explain the fuzzy inference engine.,Understanding
Write in brief about Random and Broadcast control channels.,Understanding
What is meant by Diffraction?,Remembering
"Depicting the organization of layers, explain the Open System Interconnection model.",Understanding
What is deadlock? Explain necessary conditions for deadlock.,Understanding
Write short notes on the modeling of a transistor in detail.,Understanding
Explain the trade-off between bandwidth and SNR.,Understanding
Give the construction details and characteristics of enhancement mode MOSFET.,Remembering
What are ethical concerns in AI development?,Remembering
Draw the small signal model of an FET and explain the significance of each element.,Understanding
List the Modem operational modes.,Remembering
Explain the operation of a common-gate amplifier with a diagram.,Understanding
Explain the characteristics of Electromagnetic waves.,Understanding
Write a short note on the Giga-scale dilemma.,Understanding
Derive an expression for the continuity equation and explain its importance.,Understanding
What is the use of Cladding in an Optical Fiber? Give the limitations of Optical Fiber.,Remembering
Develop a conceptual model for a heat exchanger that improves efficiency while reducing material costs.,Creating
Design a new type of antenna that optimizes signal strength for 5G networks.,Creating
Write in detail about the optical properties of Radio Waves.,Understanding
Explain Amplitude Modulation with a neat sketch.,Understanding
Explain the piecewise linear function with a neat sketch.,Understanding
Explain the architecture of a recommendation system.,Understanding
Explain hybrid AI systems and their advantages.,Understanding
What are Microwaves? What are the advantages and disadvantages of Microwave Radio Communications?,Remembering
Derive the expression for the Fermi level in an intrinsic semiconductor. Express electron and hole concentrations in terms of the Fermi level.,Understanding
Explain small signal analysis of a common-source FET amplifier.,Analyzing
Explain the minimax algorithm.,Understanding
"For a 20-channel PCM/TDM system with an 8-KHz sample rate, 10 bits per sample, and one framing bit per frame, determine the Line speed.",Applying
What is virtual memory? How does it improve system performance?,Understanding
Design a database system that optimizes data retrieval speed for large-scale applications.,Creating
"Derive the expressions for the current gain, voltage gain, input impedance, and output impedance of a CB amplifier using the h-parameter model.",Understanding
What is the importance of reactive power? Explain reactive power control using a fuzzy logic controller.,Understanding
What is feedforward recall?,Remembering
"Draw and explain Single-Channel, Simplex PCM transmission system.",Understanding
Write about FPGA programming technologies in detail.,Understanding
"With necessary equations, derive charge densities in a semiconductor material.",Understanding
Explain BiCMOS fabrication in the p-well process and its operation.,Understanding
Explain demand paging and page replacement algorithms.,Understanding
What are the characteristics of Electromagnetic waves?,Understanding
Sketch the block diagram of a digital camera and explain digital camera implementation in an embedded operating system.,Understanding
Explain DNS (Domain Name System) and its hierarchy.,Understanding
Explain why delta modulation is a special case of DPCM.,Understanding
Compare transistor amplifiers and explain their differences.,Understanding
How can we check the effectiveness of data communication?,Evaluating
Discuss the importance of data warehousing and data mining.,Understanding
What is meant by Network Topology? Draw and explain the structure of all Multipoint Topologies.,Understanding
Demodulate a PSK signal using a coherent receiver.,Applying
Explain the threshold function with a neat sketch.,Understanding
Explain clocked CMOS registers in detail.,Understanding
Explain the various details held by a Map file generated during the process of cross-compiling an Embedded C project.,Understanding
Explain the different sources of wiring capacitances and their impact on VLSI circuit performance.,Understanding
Write short notes on the modeling of a transistor in detail.,Understanding
Describe methods for driving large capacitive loads.,Understanding
Explain the characteristics of AI problems.,Understanding
"Compare the performance of inductive, L-section, and Ï€-section filters.",Analyzing
Implement the McCulloch-Pitts network for the AND logic function.,Applying
Define Carrier Systems and explain in detail about T-Carrier Systems.,Understanding
Explain pipelining for optimizing sequential circuits.,Understanding
"Discuss pattern recognition, control, and beamforming learning tasks.",Understanding
Explain briefly about Frequency-Division Multiplexing (FDM).,Understanding
Explain the different types of design rules and give some examples.,Understanding
Define Artificial Intelligence.,Remembering
Explain why it is better to fix the quiescent operating point in the middle of the active region.,Understanding
Derive entropy for a binary asymmetric channel output.,Understanding
Explain in detail about the single-mode and multi-mode step-index optical fiber.,Understanding
Determine the Checksum for the following data and CRC-generating polynomials: ( G(x) = x^7 + x^4 + x^2 + x^0 ) ( P(x) = x^5 + x^4 + x^1 + x^0 ),Applying
What is indexing in a database? Explain different types of indexing.,Understanding
Describe in detail about Satellite Communication Systems.,Understanding
What is deep learning? Explain its importance in modern AI.,Understanding
Explain briefly about First Generation Analog Cellular Telephone Systems.,Understanding
Discuss the limits of scaling and explain why scaling is necessary for VLSI circuits.,Understanding
What are convolutional neural networks (CNNs)? Explain their working.,Understanding
Explain how optical fiber is constructed with a diagram.,Understanding
Write short notes on the ultra-deep-submicron era.,Understanding
Design a web-based adaptive learning system that dynamically adjusts content difficulty based on user performance.,Creating
Explain the PMOS enhancement mode fabrication process for different conditions of Vds.,Understanding
What is Multiplexing? Define Time Division Multiplexing.,Understanding
"Compare circuit switching, packet switching, and message switching.",Analyzing
Invent a new braking system for bicycles that enhances safety without using traditional disc or drum brakes.,Creating
