question,bloom_taxonomy_level,Unnamed: 2
Compare full-custom and semi-custom design methodologies.,Understand,
Explain High-k metal technology.,Understand,
Explain in detail about the First Generation Analog Cellular Telephone system.,Understand,
Explain natural language processing (NLP) and its challenges.,Understand,
Explain the operation of a single-stage amplifier with resistive load.,Understand,
Define mutual information and list its properties.,Understand,
"Briefly describe the significance of the Shannon limit for information capacity. Given a standard telephone circuit with a signal-to-noise power ratio of 30dB and a bandwidth of 2.7 kHz, determine the Shannon limit for information capacity.",Apply,
Define ripple factor and calculate the ripple factor of a half-wave rectifier.,Remember,
Discuss the generalized analysis of a transistor amplifier model using h-parameters.,Understand,
Explain about Basic Telephone Call Procedures.,Understand,
Discuss cloud computing and AI integration.,Understand,
Discuss the importance of explainability in AI models.,Understand,
What is the role of system calls in OS? Explain types of system calls.,Understand,
Derive the voltage gain equation for a common source amplifier at high frequencies.,Apply,
Explain the importance of pass-transistor logic with examples.,Understand,
Explain k-means clustering with a suitable example.,Understand,
Discuss how Threads and Processes are related. What parameters are common to Process and Threads? Explain in detail.,Understand,
Define Multiplexing. Describe its goals and importance.,Understand,
Determine L=2n for a PCM signal with Î¼=100 and SNR = 40 dB. Calculate output SQNR.,Apply,
Explain how an LED differs from an ordinary PN junction diode and list its applications.,Understand,
Write short notes on metastability in CMOS logic.,Understand,
"For a 12-bit data string of 101100010010, determine the number of Hamming bits required, assume an arbitrary single-bit transmission error, and prove that the Hamming code will successfully detect the error.",Apply,
Explain the concept of punch-through/reach-through in a BJT.,Understand,
What is Redundancy? Write about Character and Message Redundancy.,Understand,
"Compute entropy for a source with symbols A, B, C (probabilities 0.5, 0.3, 0.2) and develop Huffman code.",Apply,
Explain Paging Systems.,Understand,
"For a single-mode optical cable with an optical cable 0.25 dB/km loss, determine the optical power 100 km from a 0.1 mW light source.",Apply,
Explain alternate gate circuits using a NAND gate as an example.,Understand,
Write in brief about Serial and Parallel Data Transmission.,Understand,
Explain schemes for digital data transmission.,Understand,Good Comparison
Explain how PPM can be generated from PWM signals.,Understand,
Write short notes on high-k metal technology.,Understand,
What is a network topology? Classify different network topologies.,Understand,
Draw a CMOS inverter circuit and explain transfer characteristics using equations.,Understand,
Design a new circuit that automatically switches between solar power and grid power based on availability.,Create,
What is a process? Explain process states with a state transition diagram.,Understand,
Determine the pull-up to pull-down ratio for an NMOS inverter driven by another NMOS inverter.,Apply,
Explain Master-Slave Edge-Triggered Registers.,Understand,
Classify and explain Bar Codes.,Understand,
What is pattern association?,Understand,
What are the advantages of optical fiber cables?,Understand,
Write down the equations for Ids of an n-channel enhancement MOSFET operating in non-saturated and saturated regions.,Remember,
Describe different types of joins in SQL with examples.,Understand,
Describe the losses in Optical Fiber Cables.,Understand,
Define Electromagnetic Radiation. Write the mathematical representation of power density.,Apply,
Explain the fuzzy inference engine.,Understand,
Write in brief about Random and Broadcast control channels.,Understand,
What is meant by Diffraction?,Remember,
"Depicting the organization of layers, explain the Open System Interconnection model.",Understand,
What is deadlock? Explain necessary conditions for deadlock.,Understand,
Write short notes on the modeling of a transistor in detail.,Understand,
Explain the trade-off between bandwidth and SNR.,Understand,
Give the construction details and characteristics of enhancement mode MOSFET.,Remember,
What are ethical concerns in AI development?,Remember,
